date Germany India Singapore Norway Netherlands
2021-02-16 2342843 10937320 59810 67140 1052481
2021-02-17 2350399 10950201 59821 67498 1057062
2021-02-18 2360606 10963394 59832 67824 1061842
2021-02-19 2369719 10977387 59846 68107 1066468
2021-02-20 2378883 10991651 59858 68315 1071196
2021-02-21 2386559 11005850 59869 68532 1075385
2021-02-22 2390928 11016434 59879 68758 1079222
2021-02-23 2394811 11030176 59883 69148 1083634
2021-02-24 2402818 11046914 59890 69489 1088697
2021-02-25 2414687 11063491 59900 70040 1093843
2021-02-26 2424684 11079979 59913 70564 1098836
2021-02-27 2434446 11096731 59925 70826 1103544
2021-02-28 2442336 11112241 59936 71006 1107326
2021-03-01 2447068 11124527 59948 71735 1111328
2021-03-02 2451011 11139516 59956 72234 1116361
2021-03-03 2460030 11156923 59979 72923 1120518
2021-03-04 2471942 11173761 59998 73493 1125235
2021-03-05 2482522 11192045 60007 74183 1130635
2021-03-06 2492079 11210799 60020 74546 1135220
2021-03-07 2500182 11229398 60033 74942 1139092
2021-03-08 2505193 11244786 60046 75770 1143395
2021-03-09 2509445 11262707 60052 76484 1148753
2021-03-10 2518591 11285561 60062 77169 1154158
2021-03-11 2532947 11308846 60070 78041 1160283
2021-03-12 2545781 11333728 60080 78946 1166776
2021-03-13 2558455 11359048 60088 79800 1172897
2021-03-14 2569245 11385339 60105 80440 1178444
2021-03-15 2575849 11409831 60117 81305 1183403
2021-03-16 2581329 11438734 60128 82455 1189491
2021-03-17 2594764 11474605 60137 83519 1195832
2021-03-18 2612268 11514331 60152 84553 1203420
2021-03-19 2629750 11555284 60167 85542 1211215
2021-03-20 2645783 11599130 60184 86362 1218412
2021-03-21 2659516 11646081 60196 86939 1224871
2021-03-22 2667225 11686796 60208 88035 1230507
2021-03-23 2674710 11734058 60221 89120 1238325
2021-03-24 2690523 11787534 60236 90104 1246366
2021-03-25 2713180 11846652 60253 90935 1254244
2021-03-26 2734753 11908910 60265 92007 1263520
2021-03-27 2755225 11971624 60288 92469 1271312
2021-03-28 2772401 12039644 60300 93150 1278298
2021-03-29 2782273 12095855 60321 94139 1284347
2021-03-30 2791822 12149335 60347 95208 1292218
2021-03-31 2808873 12221665 60381 96079 1300633
2021-04-01 2833173 12303131 60407 96770 1308380
2021-04-02 2855061 12392260 60450 97410 1316402
2021-04-03 2873190 12485509 60468 98102 1323735
2021-04-04 2885386 12589067 60478 98676 1329341
2021-04-05 2893883 12686049 60495 99249 1335101
2021-04-06 2900768 12801785 60519 100149 1341658
2021-04-07 2910445 12928574 60554 101082 1349525
2021-04-08 2930852 13060542 60575 101960 1357669
2021-04-09 2956316 13205926 60601 102719 1365692
2021-04-10 2980413 13358805 60633 102974 1374242
2021-04-11 2998268 13527717 60653 103621 1381126
2021-04-12 3011513 13689453 60678 104269 1387867
2021-04-13 3022323 13873825 60692 105008 1393347
2021-04-14 3044016 14074564 60719 105607 1402277
2021-04-15 3073442 14291917 60735 106224 1411331
2021-04-16 3099273 14526609 60769 106727 1419759
2021-04-17 3123077 14788003 60808 107144 1428376
2021-04-18 3142262 15061805 60831 107510 1435557
2021-04-19 3153699 15320972 60851 108028 1442423
2021-04-20 3163308 15616130 60865 108342 1450952
2021-04-21 3188192 15930774 60880 109137 1460682
2021-04-22 3217710 16263695 60904 109581 1469963
2021-04-23 3245253 16610481 60943 110061 1478097
2021-04-24 3268645 16960172 60966 110390 1486157
2021-04-25 3287418 17313163 61006 110612 1492405
2021-04-26 3299325 17636186 61051 111162 1497774
2021-04-27 3310301 17997113 61063 111686 1506455
2021-04-28 3332532 18376421 61086 112156 1513747
2021-04-29 3357268 18762976 61121 112541 1522923
2021-04-30 3381597 19164969 61145 112970 1528728
2021-05-01 3400532 19557457 61179 113259 1534261
2021-05-02 3416822 19925517 61218 113469 1543451
2021-05-03 3425982 20282833 61235 113952 1551219
2021-05-04 3433516 20664979 61252 114436 1558521
2021-05-05 3451550 21077410 61268 114905 1565338
2021-05-06 3473503 21491598 61286 115411 1572833
2021-05-07 3491988 21892676 61311 115818 1580260
2021-05-08 3507673 22296081 61331 116134 1586853
2021-05-09 3520329 22662575 61359 116365 1592726
2021-05-10 3527251 22992517 61378 117022 1598260
2021-05-11 3533376 23340938 61403 117495 1604636
2021-05-12 3548285 23703665 61419 117995 1610672
2021-05-13 3565704 24046809 61453 118315 1616214
2021-05-14 3577040 24372907 61505 118740 1620680
2021-05-15 3584934 24684077 61536 119052 1625138
2021-05-16 3593434 24965463 61585 119299 1627980
2021-05-17 3598846 25228996 61613 119500 1633323
2021-05-18 3603055 25496330 61651 119814 1637905
2021-05-19 3614095 25772440 61689 120292 1642572
2021-05-20 3626393 26031991 61730 120797 1646758
2021-05-21 3635162 26289290 61770 121511 1649943
2021-05-22 3642244 26530132 61799 121963 1653382
2021-05-23 3648958 26752447 61824 122414 1656085
2021-05-24 3651640 26948874 61860 122652 1658552
2021-05-25 3653551 27157795 61890 123163 1661341
2021-05-26 3656177 27369093 61916 123662 1664692
2021-05-27 3662490 27555457 61940 124071 1668560
2021-05-28 3669870 27729247 61970 124410 1671962
2021-05-29 3675296 27894800 62003 124655 1674686
2021-05-30 3679148 28047534 62028 124824 1676736
2021-05-31 3681126 28175044 62051 125116 1679064
2021-06-01 3682911 28307832 62069 125576 1681595
2021-06-02 3687828 28441986 62100 125929 1684344
2021-06-03 3692468 28574350 62145 126218 1686756
2021-06-04 3695633 28694879 62158 126521 1688899
2021-06-05 3697927 28809339 62176 126689 1690455
2021-06-06 3700367 28909975 62196 126817 1691858
2021-06-07 3701484 28996473 62210 127066 1693285
2021-06-08 3702688 29089069 62219 127254 1695016
2021-06-09 3705942 29182532 62223 127466 1696595
2021-06-10 3709129 29274823 62236 127676 1697986
2021-06-11 3711569 29359155 62245 127874 1699204
2021-06-12 3713480 29439989 62263 127986 1700254
2021-06-13 3714969 29510410 62276 128046 1701112
2021-06-14 3715518 29570881 62301 128277 1702156
2021-06-15 3716170 29633105 62315 128499 1703190
2021-06-16 3717625 29700313 62339 128679 1704282
2021-06-17 3718955 29762793 62366 128898 1705193
2021-06-18 3720031 29823546 62382 129095 1705892
2021-06-19 3721139 29881772 62403 129225 1706606
2021-06-20 3721981 29935221 62414 129333 1707170
2021-06-21 3722327 29977861 62430 129545 1707867
2021-06-22 3722782 30028709 62448 129766 1708533
2021-06-23 3723798 30082778 62470 129944 1709239
2021-06-24 3724806 30134445 62493 130270 1709902
2021-06-25 3725580 30183143 62513 130342 1710463
2021-06-26 3726172 30233183 62530 130491 1710972
2021-06-27 3726710 30279331 62544 130588 1711530
2021-06-28 3726929 30316897 62553 130744 1712083
2021-06-29 3727333 30362848 62563 131037 1712734
2021-06-30 3728141 30411634 62579 131316 1713572
2021-07-01 3729033 30458251 62589 131509 1714517
2021-07-02 3729682 30502362 62599 131749 1715649
2021-07-03 3730353 30545433 62606 131861 1716870
2021-07-04 3730912 30585229 62617 131949 1718389
2021-07-05 3731124 30619932 62630 132136 1720606
2021-07-06 3731564 30663665 62640 132363 1724256
2021-07-07 3732549 30709557 62652 132574 1729693
2021-07-08 3733519 30752950 62668 132673 1736632
2021-07-09 3734468 30795716 62678 132966 1746949
2021-07-10 3735420 30837222 62684 133100 1756283
2021-07-11 3736165 30874376 62692 133197 1764734
2021-07-12 3736489 30907282 62718 133367 1772565
2021-07-13 3737135 30946147 62744 133549 1783035
2021-07-14 3738683 30987880 62804 133720 1794058
2021-07-15 3740325 31026829 62852 133876 1805455
2021-07-16 3741781 31064908 62913 134092 1816562
2021-07-17 3743389 31106065 62981 134230 1826824
2021-07-18 3744681 31144229 63073 134339 1835790
